sn_block,uid_i,uid_j,survey_i,survey_j,released_common_difference,sigma_released_common_difference,local_refit_departure_difference,local_photometric_sigma_independent_proxy,raw_error_cross_survey_covariance,fit_i,fit_j
Pantheon:2007a,P0217,P0218,5,65,-0.06920000000000212,0.12252893535814312,-0.049358632715138295,0.02141495240944357,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007af,P0043,P0044,57,56,0.0643999999999991,0.1401044610281914,0.038912717452452394,0.00629308295956978,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007af,P0043,P0045,57,5,-0.033200000000000805,0.08297047667694817,-0.0351193607504392,0.003622721243187737,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007af,P0043,P0046,57,64,0.0329999999999942,0.1070563870117052,0.024876153296889594,0.004219644773235354,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007af,P0044,P0045,56,5,-0.09759999999999991,0.1486170245967803,-0.0740320782028916,0.005832482966246567,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007af,P0044,P0046,56,64,-0.031400000000004896,0.12501123949469506,-0.0140365641555628,0.006220864116664588,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007af,P0045,P0046,5,64,0.06619999999999501,0.11334818040003994,0.05999551404732879,0.0034957640692445564,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007ai,P0510,P0511,5,64,-0.0015000000000000013,0.15784780644658952,0.00425888375438771,0.014434488730095231,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007bc,P0294,P0295,57,5,0.0217000000000028,0.17751715410066715,-0.0153902009282407,0.005087876688498498,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007bc,P0294,P0296,57,64,0.014200000000002502,0.1822974492416172,-0.0477577994981398,0.010830314484843718,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007bc,P0295,P0296,5,64,-0.007500000000000298,0.15476898914188203,-0.0323675985698991,0.009958965207216548,unreleased; sigma is a diagonal diagnostic only,ok,ok
