uid,epochs_tested,identifiable_epoch_jackknifes,single_epoch_jackknife_max
P0561,4,4,0.03505928716326969
P0562,4,4,0.04717066293570709
P0563,16,16,0.0090323840495119
P0564,11,11,0.03790885110321911
P0565,38,38,0.016784043066087505
P0566,13,13,0.06274582516071585
P0567,52,52,0.003527943356571637
P0568,16,16,0.012227858205817522
P0569,29,29,0.002569260791034543
P0570,55,55,0.0064437022576819426
P0571,34,34,0.017100086406623236
P0572,20,20,0.014820400878286125
P0573,32,32,0.021723465439688297
P0574,16,16,0.015337581677665326
P0575,16,16,0.012527786365041912
P0576,36,36,0.10315075098056548
P0577,17,17,0.01820562109372069
P0578,13,13,0.02280429324105066
P0579,10,10,0.03095791899580451
P0580,53,53,0.04031411118559035
P0581,22,22,0.020931202741741328
P0582,24,24,0.1529210921922733
P0583,15,15,0.020118582814724128
P0584,19,19,0.01780482299963405
P0585,16,16,0.01932230225427083
P0586,19,19,0.026527108125803802
P0587,8,8,0.010782359095658788
P0588,35,35,0.12268041034548012
P0589,25,25,0.01736350040561459
P0590,21,21,0.02283079109515825
P0591,32,32,0.06571492423113842
P0592,30,30,0.0052371704951455645
P0593,83,83,0.008807839483868748
P0594,28,28,0.051644430123970964
P0595,27,27,0.0489620524477404
P0596,19,19,0.0656900544963456
P0597,23,23,0.026606081719326567
P0598,25,25,0.020142719440756723
P0599,12,12,0.09174560514843794
P0600,14,14,0.020597834086305177
P0601,22,22,0.08368077472927408
P0602,18,18,0.051858439582468406
P0603,15,15,0.021697968766116457
P0604,19,19,0.006722630523917974
P0605,26,26,0.010015445197511514
P0606,32,32,0.02274788079569044
P0607,32,32,0.021954560640779316
P0608,26,26,0.04234797667005136
P0609,17,17,0.03894157368463184
P0610,17,17,0.02628825034394187
P0611,23,23,0.03560988304856492
P0612,29,29,0.009752010065460162
P0613,28,28,0.03286523581170013
P0614,7,7,0.023582022877690262
P0615,14,14,0.005449764651442485
P0616,9,9,0.07976661837595853
P0617,10,10,0.020142373372899865
P0618,23,23,0.09868867208710695
P0619,24,24,0.047516923282462514
P0620,107,107,0.0032812127153973372
P0621,16,16,0.0018020968581844155
P0622,20,20,0.11642393289694011
P0623,46,46,0.03025932792531381
P0624,16,16,0.049516367977665954
P0625,21,21,0.04396931113065752
P0626,60,60,0.011083889503131359
P0627,27,27,0.026233877742918275
P0628,30,30,0.002249069816741768
P0629,9,9,0.01899561068457653
P0630,11,11,0.008505431291338796
P0631,24,24,0.11333877338854659
P0632,31,31,0.033932266553834925
P0633,35,35,0.01065685171311337
P0634,35,35,0.018762981088664046
P0635,20,20,0.05012589651688425
P0636,28,28,0.01193246366717815
P0637,35,35,0.05782494647633738
P0638,24,24,0.01540827832861889
P0639,23,23,0.07326583148355081
P0640,14,14,0.00501486078201986
P0641,33,33,0.01456871057584085
P0642,20,20,0.016475205046317665
P0643,13,13,0.015360516690667379
P0644,26,26,0.057190707187430745
P0645,5,5,0.09732276916603459
P0646,26,26,0.04833141769565664
P0647,12,12,0.03366201717727408
P0648,16,16,0.023713370159060308
P0649,22,22,0.03195334772410933
P0650,17,17,0.06772180267598764
P0651,34,34,0.056516372182427076
P0652,29,29,0.08888584791999533
P0653,21,21,0.042088378640465614
P0654,24,24,0.02437059519710155
P0655,18,18,0.009921277508537206
P0656,12,12,0.019574147241875756
P0657,14,14,0.10029663345094328
P0658,24,24,0.00940612822821719
P0659,20,20,0.03358072756999111
P0660,36,36,0.015220269752640864
P0661,3,3,0.11397997853127022
P0662,13,13,0.01518479670434888
P0663,29,29,0.025949057416237733
P0664,33,33,0.0535832787172981
P0665,23,23,0.05935214128613275
P0666,37,37,0.020944985675715223
P0667,19,19,0.03493223830172673
P0668,7,7,0.005876714826170987
P0669,36,36,0.01544025438122479
P0670,10,10,0.009032004089047556
P0671,11,11,0.012495998438004268
P0672,11,11,0.028995891591305584
P0673,68,68,0.0050663185258843215
P0674,20,20,0.01711396677080706
P0675,28,28,0.03382376501692229
P0676,18,18,0.018737354006067214
P0677,9,9,0.07444025482702436
P0678,32,32,0.019239223750860016
P0679,10,10,0.012739590944311674
P0680,14,14,0.013312835804396943
P0681,20,20,0.025775241405403822
P0682,8,8,0.25514766439237957
P0683,6,6,0.020328309254503605
P0684,68,68,0.005152281431063525
P0685,17,17,0.028520042996662043
P0686,34,34,0.013395173209570073
