uid,chromatic_residual_chi2,chromatic_rank,phase_given_chromatic_chi2,phase_rank,remaining_chi2,post_source_chi2
P0281,100.78076643386423,2,493.77934231543804,2,842.4369563246296,1436.997065073932
P0282,867.9076173294856,5,59.86712777522294,2,1260.7627042134238,2188.537449318131
P0283,36.78709365016218,2,160.656732213329,2,66.65352772239173,264.0973535858828
P0284,12.468006990207064,3,0.8038848645413271,2,13.022372560738482,26.294264415486868
P0285,414.3757313802467,6,696.6309020101924,2,325.13246061987496,1436.1390940103142
P0286,213.85140184459343,4,388.7149475756025,2,211.60441085821958,814.1707602784156
P0287,7.033035314066114,3,5.459312466651512,2,195.5943778176761,208.08672559839374
P0288,10.686359558867043,3,0.45962829344841183,2,27.945412656511152,39.09140050882661
P0289,67.72955640189842,2,20.21985578666353,2,48.98583863475562,136.9352508233176
P0290,49.92378192513514,2,35.679876119475864,2,120.35310606412267,205.9567641087336
P0291,51.89421401452702,6,56.37194579175118,2,172.0417764279009,280.3079362341792
P0292,41.480436638609774,2,93.64873883394733,2,42.041359657450116,177.17053513000718
P0293,52.8339721135348,3,215.0357024193733,2,47.03522606443116,314.9049005973394
P0294,160.79600974657748,7,51.3805543411799,2,112.68110789277684,324.85767198053384
P0295,290.2297239232101,5,61.274447008895486,2,320.4542167312207,671.9583876633262
P0296,54.87886132518436,3,14.506160432050551,2,55.69412586645915,125.07914762369407
P0297,388.2667678267205,2,1084.0173461468685,2,517.4402787383011,1989.7243927118895
P0298,9517.378681464997,5,11216.287480056677,2,9560.793608197684,30294.459769719375
P0299,17.118377910827665,3,11.489515347254715,2,36.167886814243495,64.77578007232586
P0300,50.89027201596445,2,100.5694571791976,2,170.49411556935945,321.95384476452153
P0301,10.01586347966278,3,16.973484321249522,2,21.864992251920775,48.85434005283308
P0302,14.509535045507794,3,3.9548676842509316,2,38.36846684724981,56.83286957700853
P0303,76.88467171842547,5,198.25212231063685,2,352.28382157197984,627.4206156010422
P0304,23.070766538522616,3,26.2542870373708,2,92.53433706270629,141.85939063859973
P0305,7.400720429683241,3,77.39439160657028,2,130.4604664401664,215.25557847641994
P0306,47.72793494889263,3,0.908805361705009,2,139.5677126362761,188.20445294687374
P0307,76.50677200692755,3,32.98012413570825,2,33.24776786906005,142.7346640116959
P0308,51.04915292539784,7,83.84187796540654,2,81.09331096066417,215.98434185146846
P0309,122.62128001727538,2,567.0289118493458,2,46.63390117693213,736.2840930435534
P0310,34.12874588833478,3,19.990513467825693,2,94.69262374675,148.8118831029105
P0311,37.96062207915927,3,21.810743881825786,2,230.95799504271812,290.72936100370316
P0312,16.209880899286695,2,8.031043673478106,2,50.66870404146295,74.90962861422781
P0313,310.05562733948534,5,166.25396019353622,2,502.6345481736253,978.9441357066473
P0314,38.628051850958805,3,102.83080156585734,2,166.71112653074258,308.1699799475588
P0315,59.79384126703174,3,19.049824839682202,2,77.95281566085188,156.79648176756575
P0316,91.37130636996235,3,13.360810025254672,2,646.1765244502492,750.908640845466
P0317,274.60026830313245,4,7.711153314020004,2,131.7150476703713,414.02646928752404
P0318,154.52518281768064,3,13.197840962991801,2,70.19858977875832,237.92161355943102
P0319,13.830965051203854,3,0.6628476045337017,2,146.8753118826777,161.36912453841526
P0320,28.45041136303102,4,16.342862175821516,2,44.43895785238705,89.2322313912396
P0321,16.294086917577,3,2.985315110557147,2,23.261223326655113,42.540625354789235
P0322,430.2274914732803,2,241.52412671484865,2,322.33674836103415,994.0883665491631
P0323,99.76173853499769,2,0.7568722590340117,2,97.03705051653851,197.5556613105702
P0324,1204.4526079474963,4,6.577588492348589,2,535.0490168087736,1746.0792132486167
P0325,81.81059664421238,6,5.97122808010416,2,221.57947113620278,309.36129586051936
P0326,0.8603964391629657,2,16.46274962748641,2,17.323478642612812,34.646624709262184
P0327,19.298643115122843,2,27.30097392322155,2,456.0712024599072,502.6708194982516
P0328,36.02337526198768,3,35.057327278508616,2,321.213055876557,392.2937584170534
P0329,173.94254489621588,4,24.308224482287415,2,151.78746581979215,350.03823519829535
P0330,86.16361874622251,7,26.2976589381475,2,39.059284155435776,151.5205618398057
P0331,0.5656287779734483,2,0.09644609235690658,2,0.2861379782195963,0.9482128485499507
P0332,0.44214240956227663,2,1.5058909143468913,2,1.8006990536372625,3.748732377546433
P0333,10.903868250437966,2,0.9531771274644295,2,23.02834722680572,34.88539260470812
P0334,22.085911386965844,6,33.86735016743144,2,130.35116936021382,186.30443091461103
P0335,319.3899642875851,2,163.09284887106224,2,569.1252549927442,1051.6080681513913
