test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_survey_57,0,0.0,0.01,156,-1.3350396947913146,-1.562866210181342,0.9735132433783108,9.973267194989267,88,1.0
P_leave_survey_57,1,0.01,0.03,1479,-1.9895427707815283,-1.9852478082841054,0.9960019990004998,41.35033943855303,88,1.0
P_leave_survey_57,2,0.03,0.05,1367,-0.9378417739933657,-1.059830471743525,0.8325837081459271,13.109533985341269,18,0.9945027486256871
P_leave_survey_57,3,0.05,0.1,929,-0.9541386340664292,-0.7519564861666727,0.9740129935032483,2.2928671229717175,1,0.9965017491254373
P_leave_survey_61,0,0.0,0.01,156,-0.3129545614703446,0.15025873347060295,0.5172413793103449,2.7945695984586343,8,0.703648175912044
P_leave_survey_61,1,0.01,0.03,1479,-0.23526902564270027,0.29781175253345,0.49025487256371814,3.505257738849823,8,0.6621689155422289
P_leave_survey_61,2,0.03,0.05,1367,0.34366827369518305,0.9151905601926188,0.22288855572213892,1.3098702063820997,3,0.40229885057471265
P_leave_survey_61,3,0.05,0.1,929,-0.2461042701854776,0.11440466939615122,0.43478260869565216,1.2850783475600884,0,0.6661669165417291
P_leave_survey_62,0,0.0,0.01,156,-0.048564486619153704,-0.27686916061711203,0.42628685657171417,6.551016347066398,20,0.6426786606696652
P_leave_survey_62,1,0.01,0.03,1479,0.9037937042760388,0.7173138312913278,0.16241879060469766,11.252918047728306,20,0.2928535732133933
P_leave_survey_62,2,0.03,0.05,1367,-0.6934793477745201,-0.7688007097869167,0.7916041979010495,1.8336180307862666,3,0.92103948025987
P_leave_survey_62,3,0.05,0.1,929,-0.6717906040522424,-0.7525028477643274,0.768615692153923,1.7910823926763755,1,0.9160419790104948
P_leave_survey_63,0,0.0,0.01,156,-0.21680497320906378,-0.6370232028685359,0.5132433783108445,7.180822889338122,29,0.8025987006496752
P_leave_survey_63,1,0.01,0.03,1479,-0.014229149522503245,-0.3903951253358543,0.4657671164417791,16.296031239422256,29,0.7221389305347327
P_leave_survey_63,2,0.03,0.05,1367,-1.0709455175392006,-1.0579527814016978,0.8985507246376812,6.992630014603393,12,0.9955022488755623
P_leave_survey_63,3,0.05,0.1,929,-0.7982156795509996,-0.9669422919443522,0.8320839580209896,3.1332051377756085,2,0.9665167416291854
P_leave_survey_64,0,0.0,0.01,156,-0.11182089284259247,-0.7100603540286933,0.4587706146926537,9.104995112931302,53,0.777111444277861
P_leave_survey_64,1,0.01,0.03,1479,0.2530406521438747,-0.11195824663638583,0.3638180909545227,32.435032447640985,53,0.6256871564217891
P_leave_survey_64,2,0.03,0.05,1367,-0.22669573923153627,-0.5176035986694968,0.5547226386806596,18.17454971977098,24,0.8170914542728636
P_leave_survey_64,3,0.05,0.1,929,-0.6058385515563978,-0.5981162662563497,0.6976511744127936,5.768710801729763,6,0.9325337331334332
P_leave_survey_65,0,0.0,0.01,156,-0.9486718973788971,-0.9242274452430902,0.8760619690154923,7.611630600239819,36,0.9825087456271864
P_leave_survey_65,1,0.01,0.03,1479,-0.6631990323345888,-0.4478214534286818,0.7206396801599201,19.14644179708652,36,0.9250374812593704
P_leave_survey_65,2,0.03,0.05,1367,-0.3123949638391143,-0.13521232253409526,0.5732133933033483,11.835473752278102,18,0.8075962018990505
P_leave_survey_65,3,0.05,0.1,929,-0.23712463227601463,-0.3605671942753439,0.47276361819090457,2.9761528216638786,3,0.7736131934032984
P_leave_survey_66,0,0.0,0.01,156,3.7827407342267305,4.315280991601595,0.006496751624187906,4.665953718825993,11,0.019490254872563718
P_leave_survey_66,1,0.01,0.03,1479,2.8631453736739574,3.3157673860093384,0.019490254872563718,5.604132419667394,11,0.04997501249375312
P_leave_survey_66,2,0.03,0.05,1367,2.570411603646571,3.2778683670929385,0.03398300849575212,1.7546743971763836,3,0.06096951524237881
P_leave_survey_66,3,0.05,0.1,929,2.7460433594542364,3.506409789397068,0.02948525737131434,1.7250629575516467,1,0.054972513743128434
P_leave_survey_100,0,0.0,0.01,156,1.1397651073200996,1.1013278410653402,0.11894052973513243,1.0125280264882923,5,0.12393803098450774
P_leave_survey_100,1,0.01,0.03,1479,1.0852499565366753,1.0474586159189454,0.12293853073463268,1.040855342892501,5,0.12743628185907047
P_leave_survey_100,2,0.03,0.05,1367,1.0530737227220808,1.01603851315227,0.12443778110944528,1.0516530222127596,5,0.12893553223388307
P_leave_survey_100,3,0.05,0.1,929,1.070061545605072,1.033057223490597,0.12393803098450774,1.0307134609282365,5,0.12843578210894552
P_leave_survey_150,0,0.0,0.01,156,0.22607279524253887,-1.1189477442570337,0.3373313343328336,13.40239127505965,173,0.6431784107946027
P_leave_survey_150,1,0.01,0.03,1479,-0.5668270789839358,-1.1376529017330832,0.6891554222888556,94.08297098287883,173,0.9240379810094953
P_leave_survey_150,2,0.03,0.05,1367,-0.8829481482585673,-1.0457613785781392,0.7991004497751124,82.95456922571336,101,0.9695152423788106
P_leave_survey_150,3,0.05,0.1,929,-0.3669592080497649,-0.6077756111926188,0.6166916541729135,36.901902496838424,41,0.8695652173913043
