category,uid_i,uid_j,delta_z,angle_deg,W_cosine,same_survey
same_direction_different_z,D0352,D0804,0.17321999999999999,0.06178902823845566,0.9933512824551347,True
same_direction_different_z,D1625,D1723,0.08297999999999994,0.06185474440535339,0.9970154348854675,True
same_direction_different_z,D1523,D1675,0.10414000000000001,0.06186701727898462,0.9930744445647632,True
same_direction_different_z,D0657,D1368,0.24007999999999996,0.06228255829155506,1.0000000000000002,True
same_direction_different_z,D0778,D1350,0.18801999999999996,0.06231234137377411,0.998003205486968,True
same_direction_different_z,D1561,D1621,0.04630999999999996,0.06257245499508612,0.9917732550001422,True
same_direction_different_z,D1637,D1799,0.22586000000000006,0.06274755461098276,0.9999999999999999,True
same_direction_different_z,D1165,D1259,0.03247,0.06303132924287987,0.9909730762570998,True
same_direction_different_z,D1370,D1740,0.22855999999999999,0.0634939180298192,0.9976107336649374,True
same_direction_different_z,D0558,D1187,0.22122000000000003,0.06349730778085638,0.9952858136764119,True
same_direction_different_z,D0497,D0759,0.09449999999999997,0.06353334524782733,0.9963355624417208,True
same_direction_different_z,D1040,D1581,0.19036999999999993,0.06370963255417818,0.99773518142325,True
same_direction_different_z,D0695,D1139,0.15286999999999995,0.06373661785249916,0.9977705239966578,True
same_direction_different_z,D0670,D0777,0.042279999999999984,0.06390664687826353,0.9953488119953744,True
same_direction_different_z,D0236,D1391,0.44533,0.06435959507257615,0.9899118821429462,True
same_direction_different_z,D1001,D1519,0.16668000000000005,0.06451995736282928,0.9977827050997782,True
same_direction_different_z,D1489,D1614,0.06679000000000002,0.06464010912037625,0.9960062476009269,True
same_direction_different_z,D0495,D1205,0.24394,0.0649638387428596,0.9920669636512816,True
